NAME,ADDRESS_AB,longitude,latitude
Mount Royal University - City Centre Campus,,-114.0803108,51.04955283
University of Calgary - Main Campus,,-114.1301255,51.07540667
Alberta Ballet,"West Annex, 2nd Floor 906-12 Avenue S.W.",-114.082058,51.042251
Dr. Oakley,3904 - 20 Street S.W.,-114.1084354,51.01927221
H. D. Cartwright,5500 Dalhart Road N.W.,-114.1613274,51.11264854
Little Angels,599 Northmount Dr NW,-114.0880221,51.08717329
Prince of Peace,43 Auburn Meadows Blvd SE,-113.9498421,50.89326387
Annie Gale,577 Whiteridge Way N.E.,-113.9689428,51.08907262
North Point School for Boys,2445 - 23 Avenue SW,-114.1174839,51.03255636
Asasa Academy,599 Northmount Drive N.W.,-114.0880221,51.08717329
Delta West Academy,414 - 11A Street N.E.,-114.0346249,51.05510768
Evergreen,367 Everstone Dr. SW,-114.1065198,50.91692394
Calgary French & International,700 - 77 Street S.W.,-114.1978322,51.06789493
Haultain Memorial,605 Queensland Drive S.E.,-114.0233187,50.93954417
Father James Whelihan,70 Sunmills Drive S.E.,-114.0470194,50.90452435
F. E. Osborne,5315 Varsity Drive N.W.,-114.162965,51.0928118
A. E. Cross,3445 - 37 Street S.W.,-114.1420958,51.02324431
Sacred Heart Elementary,1312 - 15 Street S.W.,-114.0966365,51.04092048
Our Lady of the Assumption,7311 - 34 Avenue N.W.,-114.1913503,51.08329961
Calgary Academy Collegiate,1677 - 93rd Street S.W.,-114.2242479,51.03943008
Notre-Dame de la Paix,809 Willingdon Blvd SE,-114.0433726,50.95091705
Columbia College,802 Manning Road N.E.,-114.018022,51.05700183
Vista Virtual School - Calgary Writing Centre,341 -  58 Avenue SE,-114.0576597,51.00048542
North Middle School Campus,211 McKnight Blvd. NE,-114.060601,51.09545305
Hawkwood,650 Hawkwood Boulevard N.W.,-114.1787461,51.13065691
Annie Foote,6320 Temple Drive N.E.,-113.9403303,51.08598862
Holy Cross Elementary Junior High,3719 - 26 Avenue S.E.,-113.9795625,51.03005541
Briar Hill,1233 - 21 Street N.W.,-114.1114185,51.0631133
West Island College,7410 Blackfoot Trail S.E.,-114.0521604,50.98710438
West Dalhousie,6502 - 58 Street N.W.,-114.1695389,51.1111682
Douglas Harkness,6203 - 24 Avenue N.E.,-113.9460446,51.07384348
Holy Family,904 - 32 St. S.E.,-113.9878638,51.04553616
All Boys Alternative Program,c/o Sir James Lougheed School 3519 - 36 Avenue SW,-114.1362258,51.02117978
McKenzie Lake,16210 McKenzie Lake Way S.E.,-113.9849974,50.90621794
Monsignor J. S. Smith,2919 Douglasdale Boulevard S.E,-113.9898639,50.94121168
Calgary Christian High,5029 - 26 Avenue S.W.,-114.1589411,51.02976336
St. Andrew,4331 - 41 Avenue S.W.,-114.1477242,51.01636282
South Middle School Campus,8710 Ancourt Rd. SE,-114.053305,50.97529024
Queen Elizabeth High,512 - 18 Street N.W.,-114.1019163,51.05620243
Belfast,1229 - 17A Street N.E.,-114.0183083,51.06337499
St. Mark Elementary,4589 Marbank Drive N.E.,-113.9693478,51.06303245
Nose Creek,135 Covepark Square NE,-114.0606997,51.16714956
Greek Community,1 Tamarac Crescent S.W.,-114.1374937,51.04817391
Prince of Wales,253 Parkland Way SE,-114.033308,50.92476418
Penbrooke Meadows,5645 Pensacola Crescent S.E.,-113.9521888,51.04179533
Hugh A. Bennett,40 Saddlelake Way NE,-113.9285483,51.13168396
Christine Meikle,3525 50 Street NW,-114.1610657,51.08454469
St. William,11020 Fairmount Drive S.E.,-114.0592582,50.9536216
Canadian Montessori School West,1112 - 70 Avenue S.W.,-114.0882622,50.99074473
Alberta University of the Arts,,-114.0903742,51.0632961
St. Anthony,4811 6th St. SW,-114.0792951,51.01010775
Tuscany,990 Tuscany Drive N.W.,-114.2454306,51.11778706
St. Henry Elementary,7423 - 10 Street N.W.,-114.0801778,51.11759752
North Point School for Boys,2445 23 Ave SW,-114.1174839,51.03255636
Tom Baines,250 Edgepark Boulevard N.W.,-114.1569935,51.1335144
Central Memorial High,5111 - 21 Street S.W.,-114.1135205,51.00792788
Renfrew Educational Services-Janice McTighe Centre,2050 - 21 Street N.E.,-114.0082917,51.06961698
Woodman,8706 Elbow Drive S.W.,-114.083213,50.97565831
Wilma Hansen,963 Queensland Drive S.E.,-114.0188704,50.9322873
Mountain Park,312 Mt. Douglas Close S.E.,-113.9818799,50.92379832
Henry Wise Wood High,910 - 75 Avenue S.W.,-114.0846844,50.98634063
"Almadina Language Charter Academy, Mountain View Campus",2031 Sable Drive S.E.,-113.986831,51.03220046
St. Hubert Elementary,320 - 72 Avenue N.E.,-114.0622133,51.1183759
Crossing Park,500 Martindale Blvd. N.E.,-113.9663237,51.11569222
Janus Academy,2223 Spiller Road SE,-114.0457894,51.03318859
Olympic Heights,875 Strathcona Drive S.W.,-114.1807765,51.04596759
O.S. Geiger,100 Castlebrook Drive N.E.,-113.9615405,51.10488651
St. Marguerite,1100 New Brighton Drive SE,-113.9372308,50.92115491
St. Isabella,855 Copperfield Blvd SE,-113.935989,50.91058319
Calgary Girls Charter,6304 Larkspur Way S.W.,-114.1147539,50.99907702
Cedarbrae,10631 Oakfield Drive S.W.,-114.1331845,50.95839876
Our Lady of the Evergreens Catholic,322 Everridge Dr. S.W.,-114.1221942,50.91437381
Master's Academy,4414 Crowchild Trail S.W.,-114.1165459,51.01530238
Royal Oak,9100 Royal Birch Blvd NW,-114.2220693,51.1455728
Canadian Montessori School North,1112 - 70 Avenue S.W.,-114.0882622,50.99074473
St. Catherine Elementary,11 Canata Close S.W.,-114.0864888,50.94384646
R. T. Alderman,725 Mapleton Drive S.E.,-114.0445879,50.96115938
Guy Weadick,5612 Templehill Road N.E.,-113.9529749,51.08698834
Killarney,3008 - 33 Street S.W.,-114.1347293,51.02819342
Rundle College Academy,4330 - 16 Street S.W.,-114.0997725,51.01529662
Calgary Chinese Alliance,150 Beddington Blvd. NE,-114.0676255,51.12573264
Sam Livingston,12011 Bonaventure Drive S.E.,-114.0612703,50.94544818
Chief Justice Milvain,3428 - 42 Street N.E.,-113.97219,51.08368605
Abbeydale,320 Abergale Drive N.E.,-113.9298486,51.0566252
Twelve Mile Coulee,65 Tuscany Hills Road N.W.,-114.2434801,51.12283617
Heritage Christian Academy,2003 McKnight Boulevard N.E.,-114.0101364,51.09213522
"Calgary Islamic School, Akram Jomaa Campus",2612 - 37 Avenue N.E.,-114.0004774,51.08758987
St. Brigid,"730 Citadel Way, N.W.",-114.1877229,51.14634032
William Roper Hull,2266 Woodpark Avenue SW,-114.1138325,50.94836265
